Problem_Name,URL,Status,Subcategory
Find First And Last Position Of Element In Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Missing,Binary Search
Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements/,Missing,Binary Search
Find Minimum In Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Missing,Binary Search
Find Peak Element,https://leetcode.com/problems/find-peak-element,Missing,Binary Search
Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Missing,Binary Search
Kth Smallest Element In A Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,Missing,Binary Search
Median Of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Missing,Binary Search
Minimum Absolute Difference Between Elements With Constraint,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,Missing,Binary Search
Peak Index In A Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,Missing,Binary Search
Search A 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,Missing,Binary Search
Search A 2D Matrix Ii,https://leetcode.com/problems/search-a-2d-matrix-ii/,Missing,Binary Search
Search In Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,Missing,Binary Search
Search In Rotated Sorted Array Ii,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Missing,Binary Search
Time Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/,Missing,Binary Search
